explaining_class,variable,pearson_corr,pearson_pvalue,spearman_corr,spearman_pvalue,mse,rmse,mae
0,intercept_conflict,,,,,0.043664229540344796,0.20895987543149233,0.20865661539123953
0,local_pred_conflict,,,,,0.5646842158379758,0.7514547330598004,0.7510599357872928
0,score_conflict,,,,,0.6491572994889869,0.8057029846593513,0.8056105751946169
1,intercept_conflict,,,,,15.78648808698268,3.973221374021674,3.972801609283109
1,local_pred_conflict,,,,,0.8730712965663145,0.9343828426112685,0.9285898471299862
1,score_conflict,,,,,0.6396008195629063,0.7997504733120864,0.7996835879354983
2,intercept_conflict,,,,,0.04312282505476323,0.20766035985416964,0.207486760430366
2,local_pred_conflict,,,,,0.5733104107290318,0.757172642617938,0.7568652837733064
2,score_conflict,,,,,0.636108131519859,0.7975638730031965,0.7975155393113966
